inchikey,year,standard_type,pAct
BWTVMVHFJRFVFO-CYBMUJFWSA-N,2020,Ki,4.896196
BWTVMVHFJRFVFO-CYBMUJFWSA-N,2021,Ki,4.896196
BWYOFBHDLKEMKX-RDPGKOORSA-N,2006,IC50,9.638272
BXGTWCLBVXIHEG-UHFFFAOYSA-N,2002,Ki,5.430000
BXMJMALBICDTSR-UHFFFAOYSA-N,1996,IC50,6.207608
BXUMHQJTHQBGLJ-VBTAUBHQSA-N,1995,IC50,8.259637
BYBLEWFAAKGYCD-UHFFFAOYSA-N,,IC50,5.166662
BYBLEWFAAKGYCD-UHFFFAOYSA-N,,Ki,5.429924
BYGULAHTYKAKLG-SQNIBIBYSA-N,2006,IC50,7.173925
BYIHDKGDBKWQLV-PNFNHJRFSA-N,2002,Ki,8.920819
BYKVRDYRZVKOEH-UHFFFAOYSA-N,2002,IC50,6.900009
BYQRFLXQLXLHND-QHCPKHFHSA-N,1994,IC50,7.207608
BYTBSOKVLMSRRF-UHFFFAOYSA-N,2014,IC50,7.130768
BYUMATUURCXQEB-NDEPHWFRSA-N,1998,IC50,6.318759
BYVRLIUFCGUMSP-XYFQYJLHSA-N,1994,IC50,5.000000
BYXVSYHZQWOKSI-QGZVFWFLSA-N,1998,IC50,8.000000
BYYQYXVAWXAYQC-IBGZPJMESA-N,1995,IC50,8.795880
BYYQYXVAWXAYQC-IBGZPJMESA-N,1995,IC50,8.481486
BYYQYXVAWXAYQC-IBGZPJMESA-N,1995,IC50,8.091515
BYYQYXVAWXAYQC-IBGZPJMESA-N,1995,IC50,8.602060
BYYQYXVAWXAYQC-IBGZPJMESA-N,1993,IC50,8.795880
BYYQYXVAWXAYQC-IBGZPJMESA-N,1997,Kd,1.900000
BYYQYXVAWXAYQC-IBGZPJMESA-N,1997,Kd,8.400008
BYYQYXVAWXAYQC-IBGZPJMESA-N,1998,IC50,8.795880
BYYQYXVAWXAYQC-IBGZPJMESA-N,1994,IC50,8.795880
BYYQYXVAWXAYQC-IBGZPJMESA-N,1998,IC50,8.489991
BYYQYXVAWXAYQC-IBGZPJMESA-N,2007,Ki,6.872895
BYYQYXVAWXAYQC-IBGZPJMESA-N,2007,IC50,6.399997
BYYQYXVAWXAYQC-IBGZPJMESA-N,2008,Ki,9.136677
BYYQYXVAWXAYQC-IBGZPJMESA-N,2008,Ki,9.136677
BYYQYXVAWXAYQC-IBGZPJMESA-N,2008,IC50,8.799971
BYYQYXVAWXAYQC-IBGZPJMESA-N,2009,IC50,8.830032
BYYQYXVAWXAYQC-IBGZPJMESA-N,2009,Ki,9.136677
BYYQYXVAWXAYQC-IBGZPJMESA-N,2009,Ki,9.136677
BYYQYXVAWXAYQC-IBGZPJMESA-N,2009,IC50,8.830032
BYYQYXVAWXAYQC-IBGZPJMESA-N,2010,IC50,8.830032
BYYQYXVAWXAYQC-IBGZPJMESA-N,2010,Ki,9.136677
BYYQYXVAWXAYQC-IBGZPJMESA-N,2011,IC50,8.830032
BYYQYXVAWXAYQC-IBGZPJMESA-N,2011,Ki,9.136677
BYYQYXVAWXAYQC-IBGZPJMESA-N,2016,IC50,8.795880
BYYQYXVAWXAYQC-LJQANCHMSA-N,2004,IC50,8.795880
BZDXMLXOSGUXDE-DEOSSOPVSA-N,1997,IC50,6.366532
BZFUZGJXYGIQSB-ODRDEDCPSA-N,2004,Ki,6.699992
BZGHFPLJOCCYIG-UHFFFAOYSA-N,2000,IC50,8.221849
BZPPUKJKOJHWKN-PIPMEXSNSA-N,2006,IC50,8.327902
BZPPUKJKOJHWKN-XJABCFGWSA-N,2006,IC50,8.698970
BZWOCMMJHXYQGW-JVFAEYSFSA-N,2000,Ki,6.742321
CAHGELRDKXVTKA-RPBOFIJWSA-N,2013,IC50,10.568636
CBCYNWHALJOBSG-MHZLTWQESA-N,1996,IC50,6.798603
CBCYNWHALJOBSG-UHFFFAOYSA-N,1996,IC50,9.744727
CBNOGVWRWFAMFM-UHFFFAOYSA-N,1996,IC50,8.563837
CBPSLOOFWLIHIO-UHFFFAOYSA-N,2000,IC50,7.920819
CBQPDDPXLVPCIM-UHFFFAOYSA-N,2000,IC50,8.619789
CBVMBZMUENWLBJ-JFXHSDHMSA-N,2000,Ki,7.795880
CBWGJMUZXSIZFG-CIRMSXBNSA-N,2000,EC50,9.221849
CBWGJMUZXSIZFG-CIRMSXBNSA-N,2000,EC50,9.221849
CCIMZLOHGVNGLX-UHFFFAOYSA-N,2014,IC50,7.853872
CCIWVEMVBWEMCY-RCFOMQFPSA-N,1995,IC50,7.886057
CCIWVEMVBWEMCY-RCFOMQFPSA-N,1994,IC50,4.886057
CCRJBODRXVWELY-TYHVNVTKSA-N,2013,IC50,8.823909
CDAPYCBUIZMYOS-UHFFFAOYSA-N,1996,IC50,6.279014
CDDNZYHWARLMKA-NDEPHWFRSA-N,1998,IC50,6.417937
CDLIUHVXEYVLGX-UHFFFAOYSA-N,1996,IC50,6.774691
CDOUOAYDUOAYET-FPOVZHCZSA-N,1996,Ki,10.299989
CEDFHOSQBBFKHX-UHFFFAOYSA-N,1996,IC50,7.659556
CEKXKDBQOLAVMC-UHFFFAOYSA-N,2004,IC50,8.508638
CEKXKDBQOLAVMC-UHFFFAOYSA-N,2011,IC50,7.721246
CELTZHHYEWEYBB-YTTGMZPUSA-N,1993,IC50,7.958607
CEMCPAAFDOVLDW-FQEVSTJZSA-N,1993,IC50,6.384050
CEMCPAAFDOVLDW-FQEVSTJZSA-N,1994,IC50,6.384050
CFDNUNSOUUFTQO-HPMAGDRPSA-N,1997,IC50,6.096910
CFFZZZKWGRQTNZ-UHFFFAOYSA-N,2013,IC50,8.568636
CFYBVDVOACRIMX-BKHKPIFNSA-N,2006,IC50,9.318759
CGWJCDGSTFDBEP-KFZUGWGMSA-N,2002,Ki,9.000000
